L1,C,L1L2,L2,AaA,LoR,Edu.day,Sex,Family,ISO639.3,Enroll,Speaking,morph,lex,new_feat,new_sounds
Arabic,Iraq,ArabicEnglish,English,21,2,3,Male,Afro-Asiatic,ara ,47,478,0.0638,0.595079,21,24
English,UnitedKingdom,EnglishMonolingual,Monolingual,32,5,3,Male,Indo-European,eng ,105,577,0.0094,0.083191,11,19
Polish,Poland,PolishEnglish,English,19,3,3,Female,Indo-European,pol ,100,582,0.0479,0.388004,14,25
English,Netherlands,EnglishGerman,German,17,3,3,Female,Indo-European,eng ,118,534,0.0094,0.083191,11,19
Bulgarian,Bulgaria,BulgarianEnglish,English,23,2,3,Female,Indo-European,bul ,90,571,0.0642,0.411091,12,21
Turkish,Turkey,TurkishMonolingual,Monolingual,17,16,3,Male,Altaic,tur ,79,523,0.05,0.595079,8,20
Chinese,China,ChineseEnglish,English,27,7,1,Female,Sino-Tibetan,zho ,67,498,0.2937,0.595079,NA,NA
Amharic,Ethiopia,AmharicEnglish,English,41,4,3,Male,Afro-Asiatic,amh ,25,450,0.0657,0.595079,18,19
Polish,Poland,PolishEnglish,English,24,2,4,Female,Indo-European,pol ,100,510,0.0479,0.388004,14,25
Chinese,China,ChineseEnglish,English,27,5,4,Female,Sino-Tibetan,zho ,67,487,0.2937,0.595079,NA,NA
Armenian,Armenia,ArmenianRussian,Russian,32,8,2,Female,Indo-European,hye ,88,518,0.0298,0.492995,21,23
Croatian,BosniaandHerzegovina,CroatianEnglish,English,26,11,4,Female,Indo-European,hrv ,91,508,0.0638,0.395005,11,19
Japanese,Japan,JapaneseEnglish,English,34,5,4,Female,Japanese,jpn ,101,510,0.175,0.595079,26,20
Arabic,Morocco,ArabicFrench,French,28,12,2,Female,Afro-Asiatic,ara ,49,493,0.0638,0.595079,21,24
German,Germany,GermanEnglish,English,19,2,3,Female,Indo-European,deu ,101,629,-0.0171,0.037325,6,13
Russian,USSR,RussianEnglish,English,22,2,3,Female,Indo-European,rus ,90,503,0.0468,0.396083,12,22
Serbian,Yugoslavia,SerbianEnglish,English,29,3,3,Male,Indo-European,srp ,85,515,0.0638,0.395005,11,19
Somali,Somalia,SomaliEnglish,English,25,3,3,Male,Afro-Asiatic,som ,8,453,0.042,0.595079,21,20
French,France,FrenchEnglish,English,20,5,2,Female,Indo-European,fra ,113,533,0.0128,0.398095,10,15
German,Germany,GermanEnglish,English,21,1,3,Male,Indo-European,deu ,101,475,-0.0171,0.037325,6,13
German,Germany,GermanEnglish,English,33,1,4,Male,Indo-European,deu ,101,608,-0.0171,0.037325,6,13
Turkish,Turkey,TurkishGerman,German,32,0,3,Male,Altaic,tur ,79,491,0.05,0.595079,8,20
Armenian,USSR,ArmenianRussian,Russian,23,3,2,Male,Indo-European,hye ,90,510,0.0298,0.492995,21,23
Kurdish,Turkey,KurdishTurkish,Turkish,19,15,3,Male,Indo-European,kur ,79,507,0.0523,0.4257,11,22
English,UnitedKingdom,EnglishMonolingual,Monolingual,25,5,1,Female,Indo-European,eng ,105,556,0.0094,0.083191,11,19
Polish,Poland,PolishEnglish,English,22,1,3,Male,Indo-European,pol ,100,506,0.0479,0.388004,14,25
Kurdish,Iraq,KurdishArabic,Arabic,30,4,3,Female,Indo-European,kur ,47,509,0.0523,0.4257,11,22
German,Germany,GermanEnglish,English,20,2,3,Female,Indo-European,deu ,101,525,-0.0171,0.037325,6,13
Portugese,Portugal,PortugeseEnglish,English,21,1,3,Female,Indo-European,por ,97,488,0.0586,0.4087,15,18
German,Germany,GermanEnglish,English,24,1,4,Female,Indo-European,deu ,101,617,-0.0171,0.037325,6,13
German,Germany,GermanEnglish,English,19,1,3,Female,Indo-European,deu ,101,521,-0.0171,0.037325,6,13
Czech,CzechRepublic,CzechEnglish,English,28,1,3,Female,Indo-European,ces ,95,522,0.054,0.38518,9,15
French,France,FrenchEnglish,English,29,3,4,Male,Indo-European,fra ,113,561,0.0128,0.398095,10,15
German,Germany,GermanEnglish,English,19,5,4,Female,Indo-European,deu ,101,580,-0.0171,0.037325,6,13
German,Germany,GermanEnglish,English,14,10,3,Female,Indo-European,deu ,101,520,-0.0171,0.037325,6,13
Indonesian,Indonesia,IndonesianEnglish,English,27,2,4,Female,Austronesian,ind ,64,517,0.1461,0.595079,19,20
Afrikaans,SouthAfrica,AfrikaansEnglish,English,38,1,3,Female,Indo-European,afr ,93,512,NA,0.010463,NA,NA
Polish,Poland,PolishGerman,German,43,3,3,Female,Indo-European,pol ,100,416,0.0479,0.388004,14,25
Czech,Czechslowakia,CzechGerman,German,24,1,3,Female,Indo-European,ces ,90,618,0.054,0.38518,9,15
Persian,Afghanistan,PersianRussian,Russian,28,2,4,Male,Indo-European,fas ,19,489,0.0603,0.555295,21,21
Arabic,Morocco,ArabicFrench,French,27,5,3,Male,Afro-Asiatic,ara ,49,500,0.0638,0.595079,21,24
Hungarian,Hungary,HungarianEnglish,English,33,7,4,Female,Uralic,hun ,96,567,0.0101,0.595079,6,13
Vietnamese,Vietnam,VietnameseEnglish,English,24,2,1,Female,Austro-Asiatic,vie ,67,469,0.2859,0.595079,17,19
Polish,Poland,PolishEnglish,English,23,2,3,Female,Indo-European,pol ,100,483,0.0479,0.388004,14,25
Hungarian,Romania,HungarianRomanian,Romanian,32,1,3,Female,Uralic,hun ,86,502,0.0101,0.595079,6,13
Polish,Poland,PolishEnglish,English,20,5,3,Female,Indo-European,pol ,100,524,0.0479,0.388004,14,25
Arabic,Egypt,ArabicEnglish,English,36,7,3,Male,Afro-Asiatic,ara ,79,479,0.0638,0.595079,21,24
Persian,Iran,PersianEnglish,English,29,2,4,Female,Indo-European,fas ,77,514,0.0603,0.555295,21,21
German,USSR,GermanEnglish,English,25,3,3,Female,Indo-European,deu ,90,561,-0.0171,0.037325,6,13
English,UnitedKingdom,EnglishMonolingual,Monolingual,24,3,1,Female,Indo-European,eng ,105,562,0.0094,0.083191,11,19
Persian,Iran,PersianMonolingual,Monolingual,25,7,4,Male,Indo-European,fas ,77,521,0.0603,0.555295,21,21
Serbian,Yugoslavia,SerbianEnglish,English,20,3,3,Female,Indo-European,srp ,85,464,0.0638,0.395005,11,19
Turkish,Turkey,TurkishMonolingual,Monolingual,5,25,2,Female,Altaic,tur ,79,527,0.05,0.595079,8,20
Indonesian,Indonesia,IndonesianEnglish,English,26,1,3,Female,Austronesian,ind ,64,483,0.1461,0.595079,19,20
Russian,USSR,RussianRussian,Russian,34,2,4,Female,Indo-European,rus ,90,494,0.0468,0.396083,12,22
Turkish,Netherlands,TurkishEnglish,English,20,1,1,Male,Altaic,tur ,118,526,0.05,0.595079,8,20
Azerbaijani,USSR,AzerbaijaniRussian,Russian,19,2,3,Male,Altaic,aze ,90,495,NA,0.595079,17,21
Polish,Poland,PolishEnglish,English,18,2,3,Male,Indo-European,pol ,100,537,0.0479,0.388004,14,25
Arabic,Morocco,ArabicDanish,Danish,38,11,3,Male,Afro-Asiatic,ara ,49,513,0.0638,0.595079,21,24
German,Germany,GermanEnglish,English,21,1,3,Female,Indo-European,deu ,101,555,-0.0171,0.037325,6,13
English,SouthAfrica,EnglishAfrikaans,Afrikaans,31,3,1,Male,Indo-European,eng ,93,539,0.0094,0.083191,11,19
English,Netherlands,EnglishFrench,French,19,1,3,Female,Indo-European,eng ,118,551,0.0094,0.083191,11,19
Czech,Czechslowakia,CzechEnglish,English,21,1,3,Female,Indo-European,ces ,90,539,0.054,0.38518,9,15
English,UnitedKingdom,EnglishMonolingual,Monolingual,7,11,3,Male,Indo-European,eng ,105,588,0.0094,0.083191,11,19
Hindi,India,HindiEnglish,English,24,2,4,Male,Indo-European,hin ,54,510,0.0468,0.530183,13,21
Arabic,Syria,ArabicKurdish,Kurdish,26,6,1,Male,Afro-Asiatic,ara ,67,478,0.0638,0.595079,21,24
Portugese,Brazil,PortugeseSpanish,Spanish,30,13,3,Male,Indo-European,por ,106,492,0.0586,0.4087,15,18
Indonesian,Indonesia,IndonesianEnglish,English,28,2,4,Female,Austronesian,ind ,64,484,0.1461,0.595079,19,20
German,Austria,GermanEnglish,English,43,2,4,Female,Indo-European,deu ,100,583,-0.0171,0.037325,6,13
Polish,Poland,PolishEnglish,English,21,3,4,Female,Indo-European,pol ,100,517,0.0479,0.388004,14,25
Turkish,Turkey,TurkishEnglish,English,10,9,3,Male,Altaic,tur ,79,574,0.05,0.595079,8,20
Polish,Poland,PolishEnglish,English,26,5,4,Female,Indo-European,pol ,100,533,0.0479,0.388004,14,25
German,Germany,GermanEnglish,English,23,1,3,Female,Indo-European,deu ,101,575,-0.0171,0.037325,6,13
Turkish,Turkey,TurkishEnglish,English,25,1,4,Female,Altaic,tur ,79,564,0.05,0.595079,8,20
Hungarian,Hungary,HungarianGerman,German,36,1,4,Female,Uralic,hun ,96,532,0.0101,0.595079,6,13
Portugese,Brazil,PortugeseMonolingual,Monolingual,33,16,4,Male,Indo-European,por ,106,498,0.0586,0.4087,15,18
Estonian,Estonia,EstonianEnglish,English,41,1,4,Female,Uralic,est ,100,541,0.0547,0.595079,NA,NA
Turkish,Turkey,TurkishEnglish,English,22,14,3,Male,Altaic,tur ,79,509,0.05,0.595079,8,20
Portugese,Brazil,PortugeseEnglish,English,25,4,2,Female,Indo-European,por ,106,509,0.0586,0.4087,15,18
Danish,Denmark,DanishEnglish,English,24,1,3,Female,Indo-European,dan ,124,564,0,0.0808,NA,NA
Czech,Czechslowakia,CzechEnglish,English,23,2,3,Female,Indo-European,ces ,90,558,0.054,0.38518,9,15
Romanian,Romania,RomanianHungarian,Hungarian,26,2,3,Female,Indo-European,ron ,86,538,0.0276,0.41365,24,20
German,UnitedKingdom,GermanFrench,French,21,0,3,Male,Indo-European,deu ,105,558,-0.0171,0.037325,6,13
Chinese,Singapore,ChineseEnglish,English,25,3,3,Female,Sino-Tibetan,zho ,100,552,0.2937,0.595079,NA,NA
Polish,Poland,PolishGerman,German,22,5,3,Male,Indo-European,pol ,100,518,0.0479,0.388004,14,25
Spanish,Spain,SpanishEnglish,English,28,1,4,Female,Indo-European,spa ,118,553,0.0193,0.398649,18,23
Russian,USSR,RussianEnglish,English,26,5,4,Female,Indo-European,rus ,90,531,0.0468,0.396083,12,22
Spanish,Nicaragua,SpanishEnglish,English,25,1,4,Female,Indo-European,spa ,67,493,0.0193,0.398649,18,23
Turkish,Turkey,TurkishMonolingual,Monolingual,29,3,3,Male,Altaic,tur ,79,515,0.05,0.595079,8,20
Persian,Iran,PersianEnglish,English,27,5,4,Male,Indo-European,fas ,77,521,0.0603,0.555295,21,21
Greek,Greece,GreekEnglish,English,20,3,2,Male,Indo-European,ell ,102,508,0.0403,0.497357,21,18
Swedish,Finland,SwedishFinnish,Finnish,27,2,1,Female,Indo-European,swe ,111,510,0,0.100457,8,22
Russian,USSR,RussianEnglish,English,26,2,4,Female,Indo-European,rus ,90,552,0.0468,0.396083,12,22
Turkish,Turkey,TurkishEnglish,English,24,7,3,Male,Altaic,tur ,79,514,0.05,0.595079,8,20
Romanian,Romania,RomanianEnglish,English,24,11,4,Female,Indo-European,ron ,86,517,0.0276,0.41365,24,20
Russian,Russia,RussianEnglish,English,25,3,4,Female,Indo-European,rus ,84,595,0.0468,0.396083,12,22
Bulgarian,Bulgaria,BulgarianEnglish,English,26,1,1,Male,Indo-European,bul ,90,526,0.0642,0.411091,12,21
Romanian,Romania,RomanianEnglish,English,25,4,2,Female,Indo-European,ron ,86,489,0.0276,0.41365,24,20
Russian,USSR,RussianUkranian,Ukranian,30,0,4,Female,Indo-European,rus ,90,531,0.0468,0.396083,12,22
Persian,Iran,PersianMonolingual,Monolingual,23,4,1,Female,Indo-European,fas ,77,480,0.0603,0.555295,21,21
German,Germany,GermanEnglish,English,32,3,4,Female,Indo-European,deu ,101,544,-0.0171,0.037325,6,13
Rundi,Burundi,RundiEnglish,English,25,0,3,Male,Niger-Congo,xxx ,13,497,0.0623,0.595079,19,20
Russian,USSR,RussianMonolingual,Monolingual,27,3,3,Female,Indo-European,rus ,90,506,0.0468,0.396083,12,22
Persian,Iran,PersianTurkish,Turkish,28,4,3,Male,Indo-European,fas ,77,506,0.0603,0.555295,21,21
Serbian,Yugoslavia,SerbianEnglish,English,27,6,4,Male,Indo-European,srp ,85,530,0.0638,0.395005,11,19
Persian,Afghanistan,PersianMonolingual,Monolingual,26,2,3,Female,Indo-European,fas ,19,496,0.0603,0.555295,21,21
Indonesian,Indonesia,IndonesianEnglish,English,27,0,3,Male,Austronesian,ind ,64,458,0.1461,0.595079,19,20
Persian,Iran,PersianEnglish,English,25,3,4,Male,Indo-European,fas ,77,482,0.0603,0.555295,21,21
Kurdish,Iraq,KurdishEnglish,English,45,3,3,Male,Indo-European,kur ,47,477,0.0523,0.4257,11,22
Arabic,Sudan,ArabicEnglish,English,26,4,3,Male,Afro-Asiatic,ara ,31,511,0.0638,0.595079,21,24
Spanish,Spain,SpanishEnglish,English,29,1,1,Female,Indo-European,spa ,118,484,0.0193,0.398649,18,23
German,Germany,GermanEnglish,English,0,21,3,Male,Indo-European,deu ,101,531,-0.0171,0.037325,6,13
Indonesian,Indonesia,IndonesianEnglish,English,25,5,4,Female,Austronesian,ind ,64,476,0.1461,0.595079,19,20
Persian,Iran,PersianMonolingual,Monolingual,18,3,1,Female,Indo-European,fas ,77,512,0.0603,0.555295,21,21
Bulgarian,Bulgaria,BulgarianEnglish,English,21,1,4,Female,Indo-European,bul ,90,482,0.0642,0.411091,12,21
French,Coted'Ivoire,FrenchEnglish,English,30,2,3,Male,Indo-European,fra ,26,459,0.0128,0.398095,10,15
Arabic,Morocco,ArabicFrench,French,23,1,4,Female,Afro-Asiatic,ara ,49,453,0.0638,0.595079,21,24
Polish,Poland,PolishMonolingual,Monolingual,20,1,3,Female,Indo-European,pol ,100,548,0.0479,0.388004,14,25
Italian,Italy,ItalianGerman,German,30,1,3,Female,Indo-European,ita ,99,526,-0.0011,0.358612,17,18
English,UnitedStates,EnglishSpanish,Spanish,21,1,3,Female,Indo-European,eng ,94,541,0.0094,0.083191,11,19
Spanish,Spain,SpanishItalian,Italian,24,1,3,Female,Indo-European,spa ,118,482,0.0193,0.398649,18,23
Persian,Iran,PersianEnglish,English,23,3,3,Male,Indo-European,fas ,77,492,0.0603,0.555295,21,21
Arabic,Sudan,ArabicEnglish,English,17,5,3,Male,Afro-Asiatic,ara ,31,535,0.0638,0.595079,21,24
Persian,Iran,PersianEnglish,English,27,8,4,Female,Indo-European,fas ,77,496,0.0603,0.555295,21,21
Turkish,Turkey,TurkishEnglish,English,31,4,4,Female,Altaic,tur ,79,488,0.05,0.595079,8,20
Hebrew,Israel,HebrewEnglish,English,30,2,3,Male,Afro-Asiatic,heb ,93,540,NA,0.595079,25,23
Serbian,Yugoslavia,SerbianEnglish,English,28,3,4,Female,Indo-European,srp ,85,493,0.0638,0.395005,11,19
Indonesian,Indonesia,IndonesianGerman,German,50,1,4,Female,Austronesian,ind ,64,464,0.1461,0.595079,19,20
German,Germany,GermanEnglish,English,21,3,4,Male,Indo-European,deu ,101,596,-0.0171,0.037325,6,13
Russian,Russia,RussianEnglish,English,21,1,3,Female,Indo-European,rus ,84,515,0.0468,0.396083,12,22
Chinese,China,ChineseEnglish,English,35,14,1,Female,Sino-Tibetan,zho ,67,545,0.2937,0.595079,NA,NA
English,UnitedKingdom,EnglishMonolingual,Monolingual,29,5,2,Male,Indo-European,eng ,105,524,0.0094,0.083191,11,19
German,Germany,GermanEnglish,English,22,0,3,Female,Indo-European,deu ,101,580,-0.0171,0.037325,6,13
Persian,Iran,PersianEnglish,English,28,7,3,Male,Indo-European,fas ,77,508,0.0603,0.555295,21,21
Lithuanian,Lithuania,LithuanianEnglish,English,23,2,4,Female,Indo-European,lit ,100,490,0.0892,0.371065,7,18
Armenian,USSR,ArmenianRussian,Russian,28,5,2,Female,Indo-European,hye ,90,491,0.0298,0.492995,21,23
Arabic,Morocco,ArabicFrench,French,25,4,3,Male,Afro-Asiatic,ara ,49,519,0.0638,0.595079,21,24
Turkish,Turkey,TurkishMonolingual,Monolingual,23,7,3,Female,Altaic,tur ,79,573,0.05,0.595079,8,20
Italian,Italy,ItalianEnglish,English,19,0,3,Female,Indo-European,ita ,99,556,-0.0011,0.358612,17,18
Romanian,Romania,RomanianEnglish,English,30,2,4,Female,Indo-European,ron ,86,454,0.0276,0.41365,24,20
Bulgarian,Bulgaria,BulgarianEnglish,English,30,2,4,Female,Indo-European,bul ,90,521,0.0642,0.411091,12,21
Kurdish,Iran,KurdishPersian,Persian,22,3,3,Male,Indo-European,kur ,77,535,0.0523,0.4257,11,22
Turkish,Turkey,TurkishMonolingual,Monolingual,24,7,3,Female,Altaic,tur ,79,510,0.05,0.595079,8,20
Arabic,Morocco,ArabicFrench,French,26,2,4,Female,Afro-Asiatic,ara ,49,478,0.0638,0.595079,21,24
Portugese,Portugal,PortugeseFrench,French,27,2,2,Male,Indo-European,por ,97,549,0.0586,0.4087,15,18
Turkish,Netherlands,TurkishMonolingual,Monolingual,18,2,3,Female,Altaic,tur ,118,547,0.05,0.595079,8,20
Turkish,Turkey,TurkishMonolingual,Monolingual,23,1,3,Female,Altaic,tur ,79,459,0.05,0.595079,8,20
German,Germany,GermanMonolingual,Monolingual,40,1,3,Female,Indo-European,deu ,101,598,-0.0171,0.037325,6,13
Tagalog,Philippines,TagalogEnglish,English,17,2,2,Male,Austronesian,tgl ,83,562,0.2423,0.595079,24,22
English,UnitedStates,EnglishGerman,German,25,2,4,Female,Indo-European,eng ,94,486,0.0094,0.083191,11,19
Persian,Iran,PersianMonolingual,Monolingual,27,1,4,Male,Indo-European,fas ,77,471,0.0603,0.555295,21,21
Arabic,Morocco,ArabicMonolingual,Monolingual,34,1,1,Male,Afro-Asiatic,ara ,49,503,0.0638,0.595079,21,24
Indonesian,Germany,IndonesianEnglish,English,19,7,2,Female,Austronesian,ind ,101,542,0.1461,0.595079,19,20
Arabic,Morocco,ArabicFrench,French,22,2,1,Female,Afro-Asiatic,ara ,49,491,0.0638,0.595079,21,24
Russian,USSR,RussianEnglish,English,27,3,3,Female,Indo-European,rus ,90,522,0.0468,0.396083,12,22
German,Germany,GermanEnglish,English,30,2,3,Female,Indo-European,deu ,101,555,-0.0171,0.037325,6,13
Arabic,Iraq,ArabicEnglish,English,33,3,4,Male,Afro-Asiatic,ara ,47,449,0.0638,0.595079,21,24
Russian,Yugoslavia,RussianEnglish,English,23,13,3,Male,Indo-European,rus ,85,518,0.0468,0.396083,12,22
Persian,Iran,PersianEnglish,English,34,4,3,Female,Indo-European,fas ,77,457,0.0603,0.555295,21,21
Bulgarian,Bulgaria,BulgarianEnglish,English,30,2,4,Female,Indo-European,bul ,90,516,0.0642,0.411091,12,21
Indonesian,Indonesia,IndonesianMonolingual,Monolingual,35,17,4,Female,Austronesian,ind ,64,517,0.1461,0.595079,19,20
Chinese,China,ChineseEnglish,English,34,4,1,Female,Sino-Tibetan,zho ,67,471,0.2937,0.595079,NA,NA
Persian,Iran,PersianMonolingual,Monolingual,25,8,3,Male,Indo-European,fas ,77,540,0.0603,0.555295,21,21
Russian,Russia,RussianEnglish,English,29,1,3,Female,Indo-European,rus ,84,572,0.0468,0.396083,12,22
Portugese,CapeVerde,PortugeseEnglish,English,38,4,1,Female,Indo-European,por ,68,508,0.0586,0.4087,15,18
German,Germany,GermanEnglish,English,28,3,1,Male,Indo-European,deu ,101,607,-0.0171,0.037325,6,13
Ukranian,USSR,UkranianEnglish,English,27,2,3,Female,Indo-European,ukr ,90,558,0.0468,0.3941,20,22
Russian,USSR,RussianEnglish,English,26,5,4,Female,Indo-European,rus ,90,503,0.0468,0.396083,12,22
Czech,CzechRepublic,CzechMonolingual,Monolingual,40,8,3,Female,Indo-European,ces ,95,544,0.054,0.38518,9,15
Arabic,Iraq,ArabicMonolingual,Monolingual,48,4,1,Male,Afro-Asiatic,ara ,47,505,0.0638,0.595079,21,24
Turkish,Turkey,TurkishMonolingual,Monolingual,31,2,4,Male,Altaic,tur ,79,512,0.05,0.595079,8,20
Spanish,Spain,SpanishEnglish,English,23,2,4,Female,Indo-European,spa ,118,521,0.0193,0.398649,18,23
German,Germany,GermanEnglish,English,30,7,1,Female,Indo-European,deu ,101,569,-0.0171,0.037325,6,13
Spanish,Mexico,SpanishEnglish,English,26,4,4,Female,Indo-European,spa ,83,492,0.0193,0.398649,18,23
Arabic,Morocco,ArabicFrench,French,23,1,1,Female,Afro-Asiatic,ara ,49,462,0.0638,0.595079,21,24
Arabic,Iraq,ArabicEnglish,English,32,2,4,Male,Afro-Asiatic,ara ,47,524,0.0638,0.595079,21,24
Byelorussian,Belarus,ByelorussianMonolingual,Monolingual,39,3,3,Female,Indo-European,bel ,96,543,0.0468,0.398188,12,22
Tagalog,Philippines,TagalogEnglish,English,22,4,3,Female,Austronesian,tgl ,83,553,0.2423,0.595079,24,22
Pashto,Afghanistan,PashtoPersian,Persian,29,5,4,Male,Indo-European,pst ,19,520,NA,0.4588,18,21
Arabic,Morocco,ArabicTamazight,Tamazight,20,4,3,Female,Afro-Asiatic,ara ,49,533,0.0638,0.595079,21,24
Georgian,Georgia,GeorgianRussian,Russian,24,8,1,Male,Kartvelian,kat ,81,514,0.0183,0.595079,24,27
Turkish,Turkey,TurkishEnglish,English,22,0,3,Male,Altaic,tur ,79,547,0.05,0.595079,8,20
Persian,Iran,PersianMonolingual,Monolingual,27,4,2,Female,Indo-European,fas ,77,482,0.0603,0.555295,21,21
Polish,Poland,PolishGerman,German,29,2,3,Female,Indo-European,pol ,100,506,0.0479,0.388004,14,25
Arabic,Morocco,ArabicFrench,French,28,2,4,Male,Afro-Asiatic,ara ,49,492,0.0638,0.595079,21,24
German,Germany,GermanEnglish,English,26,0,4,Female,Indo-European,deu ,101,545,-0.0171,0.037325,6,13
Persian,Afghanistan,PersianMonolingual,Monolingual,28,3,4,Female,Indo-European,fas ,19,501,0.0603,0.555295,21,21
Danish,Denmark,DanishEnglish,English,32,0,3,Female,Indo-European,dan ,124,550,0,0.0808,NA,NA
Japanese,Japan,JapaneseEnglish,English,31,2,3,Female,Japanese,jpn ,101,483,0.175,0.595079,26,20
Arabic,Syria,ArabicMonolingual,Monolingual,42,0,4,Female,Afro-Asiatic,ara ,67,502,0.0638,0.595079,21,24
Persian,Afghanistan,PersianEnglish,English,18,2,3,Female,Indo-European,fas ,19,520,0.0603,0.555295,21,21
Spanish,Chile,SpanishEnglish,English,35,3,4,Female,Indo-European,spa ,91,519,0.0193,0.398649,18,23
German,Austria,GermanEnglish,English,27,1,4,Female,Indo-European,deu ,100,565,-0.0171,0.037325,6,13
German,Germany,GermanEnglish,English,20,1,2,Female,Indo-European,deu ,101,505,-0.0171,0.037325,6,13
German,Germany,GermanEnglish,English,19,1,3,Female,Indo-European,deu ,101,530,-0.0171,0.037325,6,13
Persian,Iran,PersianEnglish,English,26,3,4,Female,Indo-European,fas ,77,484,0.0603,0.555295,21,21
Spanish,Peru,SpanishEnglish,English,23,1,3,Male,Indo-European,spa ,85,566,0.0193,0.398649,18,23
English,UnitedStates,EnglishMonolingual,Monolingual,30,8,3,Female,Indo-European,eng ,94,522,0.0094,0.083191,11,19
German,Germany,GermanEnglish,English,18,4,3,Female,Indo-European,deu ,101,555,-0.0171,0.037325,6,13
Portugese,Brazil,PortugeseEnglish,English,28,1,3,Female,Indo-European,por ,106,530,0.0586,0.4087,15,18
Russian,Russia,RussianEnglish,English,22,5,3,Female,Indo-European,rus ,84,573,0.0468,0.396083,12,22
Arabic,Morocco,ArabicFrench,French,31,1,4,Male,Afro-Asiatic,ara ,49,487,0.0638,0.595079,21,24
Arabic,Sudan,ArabicEnglish,English,34,3,3,Male,Afro-Asiatic,ara ,31,483,0.0638,0.595079,21,24
Persian,Afghanistan,PersianEnglish,English,16,8,4,Male,Indo-European,fas ,19,532,0.0603,0.555295,21,21
Catalan,Spain,CatalanEnglish,English,23,8,1,Female,Indo-European,cat ,118,530,0.0193,0.39545,17,19
German,Yugoslavia,GermanFrench,French,23,1,3,Female,Indo-European,deu ,85,557,-0.0171,0.037325,6,13
Spanish,Spain,SpanishEnglish,English,29,15,3,Female,Indo-European,spa ,118,530,0.0193,0.398649,18,23
Turkish,Turkey,TurkishGerman,German,26,3,4,Female,Altaic,tur ,79,488,0.05,0.595079,8,20
Polish,Poland,PolishEnglish,English,25,3,1,Female,Indo-European,pol ,100,508,0.0479,0.388004,14,25
Turkish,Turkey,TurkishMonolingual,Monolingual,26,17,3,Male,Altaic,tur ,79,443,0.05,0.595079,8,20
Turkish,Turkey,TurkishEnglish,English,22,1,3,Female,Altaic,tur ,79,472,0.05,0.595079,8,20
Spanish,Guatemala,SpanishEnglish,English,26,9,3,Female,Indo-European,spa ,51,582,0.0193,0.398649,18,23
Arabic,Morocco,ArabicMonolingual,Monolingual,25,1,3,Male,Afro-Asiatic,ara ,49,450,0.0638,0.595079,21,24
Polish,Poland,PolishEnglish,English,22,1,3,Female,Indo-European,pol ,100,554,0.0479,0.388004,14,25
Arabic,Morocco,ArabicFrench,French,23,6,3,Male,Afro-Asiatic,ara ,49,448,0.0638,0.595079,21,24
Serbian,Austria,SerbianMonolingual,Monolingual,27,2,4,Female,Indo-European,srp ,100,513,0.0638,0.395005,11,19
German,Germany,GermanEnglish,English,8,11,3,Female,Indo-European,deu ,101,537,-0.0171,0.037325,6,13
Serbian,Yugoslavia,SerbianEnglish,English,20,2,3,Female,Indo-European,srp ,85,493,0.0638,0.395005,11,19
French,France,FrenchEnglish,English,24,22,3,Female,Indo-European,fra ,113,581,0.0128,0.398095,10,15
Romanian,Romania,RomanianEnglish,English,22,13,1,Female,Indo-European,ron ,86,467,0.0276,0.41365,24,20
Indonesian,Indonesia,IndonesianEnglish,English,25,5,4,Female,Austronesian,ind ,64,513,0.1461,0.595079,19,20
Fulani,SierraLeone,FulaniEnglish,English,17,4,2,Male,Niger-Congo,fub ,27,517,0.1271,0.595079,17,20
Czech,Czechslowakia,CzechEnglish,English,27,2,3,Female,Indo-European,ces ,90,531,0.054,0.38518,9,15
Amharic,Ethiopia,AmharicEnglish,English,19,3,1,Female,Afro-Asiatic,amh ,25,467,0.0657,0.595079,18,19
English,Ireland,EnglishFrench,French,23,2,3,Female,Indo-European,eng ,111,521,0.0094,0.083191,11,19
Romanian,Romania,RomanianEnglish,English,27,2,3,Female,Indo-European,ron ,86,546,0.0276,0.41365,24,20
Polish,Poland,PolishRussian,Russian,20,10,3,Female,Indo-European,pol ,100,518,0.0479,0.388004,14,25
Arabic,Syria,ArabicEnglish,English,19,1,4,Male,Afro-Asiatic,ara ,67,463,0.0638,0.595079,21,24
Kurdish,Turkey,KurdishTurkish,Turkish,27,6,4,Male,Indo-European,kur ,79,520,0.0523,0.4257,11,22
Japanese,Japan,JapaneseEnglish,English,39,2,4,Female,Japanese,jpn ,101,499,0.175,0.595079,26,20
Persian,Morocco,PersianFrench,French,20,1,3,Male,Indo-European,fas ,49,496,0.0603,0.555295,21,21
Arabic,Afghanistan,ArabicMonolingual,Monolingual,20,3,3,Female,Afro-Asiatic,ara ,19,517,0.0638,0.595079,21,24
Arabic,Iraq,ArabicEnglish,English,39,4,2,Female,Afro-Asiatic,ara ,47,454,0.0638,0.595079,21,24
Romanian,Romania,RomanianEnglish,English,36,3,3,Female,Indo-European,ron ,86,506,0.0276,0.41365,24,20
Tagalog,Philippines,TagalogEnglish,English,31,6,3,Female,Austronesian,tgl ,83,569,0.2423,0.595079,24,22
Persian,Iran,PersianEnglish,English,26,3,4,Female,Indo-European,fas ,77,496,0.0603,0.555295,21,21
Russian,USSR,RussianEnglish,English,30,3,4,Female,Indo-European,rus ,90,532,0.0468,0.396083,12,22
